country,date,value
Greece,2021/04,-1.1
Greece,2021/05,-1.2
Greece,2021/06,0.6
Greece,2021/07,0.7
Greece,2021/08,1.2
Greece,2021/09,1.9
Greece,2021/10,2.8
Spain,2019/01,1
Spain,2019/02,1.1
Spain,2019/03,1.3
Spain,2019/04,1.6
Spain,2019/05,0.9
Spain,2019/06,0.6
Spain,2019/07,0.6
Spain,2019/08,0.4
Spain,2019/09,0.2
Spain,2019/10,0.2
Spain,2019/11,0.5
Spain,2019/12,0.8
Spain,2020/01,1.1
Spain,2020/02,0.9
Spain,2020/03,0.1
Spain,2020/04,-0.7
Spain,2020/05,-0.9
Spain,2020/06,-0.3
Spain,2020/07,-0.7
Spain,2020/08,-0.6
Spain,2020/09,-0.6
Spain,2020/10,-0.9
Spain,2020/11,-0.8
Spain,2020/12,-0.6
Spain,2021/01,0.4
Spain,2021/02,-0.1
Spain,2021/03,1.2
Spain,2021/04,2
Spain,2021/05,2.4
Spain,2021/06,2.5
Spain,2021/07,2.9
Spain,2021/08,3.3
Spain,2021/09,4
Spain,2021/10,5.4
France,2019/01,1.4
France,2019/02,1.6
France,2019/03,1.3
France,2019/04,1.5
France,2019/05,1.1
France,2019/06,1.4
France,2019/07,1.3
France,2019/08,1.3
France,2019/09,1.1
France,2019/10,0.9
France,2019/11,1.2
France,2019/12,1.6
France,2020/01,1.7
France,2020/02,1.6
France,2020/03,0.8
France,2020/04,0.4
France,2020/05,0.4
France,2020/06,0.2
France,2020/07,0.9
France,2020/08,0.2
France,2020/09,0
France,2020/10,0.1
France,2020/11,0.2
France,2020/12,0
France,2021/01,0.8
France,2021/02,0.8
France,2021/03,1.4
France,2021/04,1.6
France,2021/05,1.8
France,2021/06,1.9
France,2021/07,1.5
France,2021/08,2.4
France,2021/09,2.7
France,2021/10,3.2
Croatia,2019/01,0.6
Croatia,2019/02,0.8
Croatia,2019/03,1.1
Croatia,2019/04,0.8
Croatia,2019/05,1
Croatia,2019/06,0.5
Croatia,2019/07,0.9
Croatia,2019/08,0.6
Croatia,2019/09,0.6
Croatia,2019/10,0.6
Croatia,2019/11,0.8
Croatia,2019/12,1.3
Croatia,2020/01,1.8
Croatia,2020/02,1.2
Croatia,2020/03,0.5
Croatia,2020/04,-0.1
Croatia,2020/05,-0.7
Croatia,2020/06,-0.4
Croatia,2020/07,-0.6
Croatia,2020/08,-0.4
Croatia,2020/09,-0.3
Croatia,2020/10,-0.2
Croatia,2020/11,0
Croatia,2020/12,-0.3
Croatia,2021/01,0
Croatia,2021/02,0.7
Croatia,2021/03,1.6
Croatia,2021/04,2.1
Croatia,2021/05,2.4
Croatia,2021/06,2.2
Croatia,2021/07,2.7
Croatia,2021/08,3.1
Croatia,2021/09,3.5
Croatia,2021/10,3.9
Italy,2019/01,0.9
Italy,2019/02,1.1
Italy,2019/03,1.1
Italy,2019/04,1.1
Italy,2019/05,0.9
Italy,2019/06,0.8
Italy,2019/07,0.3
Italy,2019/08,0.5
Italy,2019/09,0.2
Italy,2019/10,0.2
Italy,2019/11,0.2
Italy,2019/12,0.5
Italy,2020/01,0.4
Italy,2020/02,0.2
Italy,2020/03,0.1
Italy,2020/04,0.1
Italy,2020/05,-0.3
Italy,2020/06,-0.4
Italy,2020/07,0.8
Italy,2020/08,-0.5
Italy,2020/09,-1
Italy,2020/10,-0.6
Italy,2020/11,-0.3
Italy,2020/12,-0.3
Italy,2021/01,0.7
Italy,2021/02,1
Italy,2021/03,0.6
Italy,2021/04,1
Italy,2021/05,1.2
Italy,2021/06,1.3
Italy,2021/07,1
Italy,2021/08,2.5
Italy,2021/09,2.9
Italy,2021/10,3.2
Cyprus,2019/01,2.1
Cyprus,2019/02,0.8
Cyprus,2019/03,1.1
Cyprus,2019/04,1.2
Cyprus,2019/05,0.2
Cyprus,2019/06,0.3
Cyprus,2019/07,0.1
Cyprus,2019/08,0.6
Cyprus,2019/09,-0.5
Cyprus,2019/10,-0.5
Cyprus,2019/11,0.5
Cyprus,2019/12,0.7
Cyprus,2020/01,0.7
Cyprus,2020/02,1
Cyprus,2020/03,0.1
Cyprus,2020/04,-1.2
Cyprus,2020/05,-1.4
Cyprus,2020/06,-2.2
Cyprus,2020/07,-2
Cyprus,2020/08,-2.9
Cyprus,2020/09,-1.9
Cyprus,2020/10,-1.4
Cyprus,2020/11,-1.1
Cyprus,2020/12,-0.8
Cyprus,2021/01,-0.8
Cyprus,2021/02,-0.9
Cyprus,2021/03,0.3
Cyprus,2021/04,1.2
Cyprus,2021/05,1.5
Cyprus,2021/06,2.2
Cyprus,2021/07,2.7
Cyprus,2021/08,3.3
Cyprus,2021/09,3.6
Cyprus,2021/10,4.4
Latvia,2019/01,2.9
Latvia,2019/02,2.8
Latvia,2019/03,2.7
Latvia,2019/04,3.3
Latvia,2019/05,3.5
Latvia,2019/06,3.1
Latvia,2019/07,3
Latvia,2019/08,3.1
Latvia,2019/09,2.3
Latvia,2019/10,2.2
Latvia,2019/11,2
Latvia,2019/12,2.1
Latvia,2020/01,2.2
Latvia,2020/02,2.3
Latvia,2020/03,1.4
Latvia,2020/04,-0.1
