date,tenedor,value
2011/04,FONDOS DE PENSIONES,9252
2011/04,FONDOS DE INVERSION,14927
2011/04,OTRAS INSTITUCIONES FINANCIERAS,2041
2011/04,EMPRESAS NO FINANCIERAS,10239
2011/04,PERSONAS FÍSICAS,1967
2011/04,ADMINISTRACIONES PÚBLICAS,59133
2011/04,NO RESIDENTES,188422
2011/04,TOTAL,451285
2011/05,ENTIDADES DE CREDITO,116920
2011/05,BANCO DE ESPAÑA,17827
2011/05,ENTIDADES DE SEGUROS,32155
2011/05,FONDOS DE PENSIONES,9322
2011/05,FONDOS DE INVERSION,14890
2011/05,OTRAS INSTITUCIONES FINANCIERAS,1840
2011/05,EMPRESAS NO FINANCIERAS,8933
2011/05,PERSONAS FÍSICAS,1900
2011/05,ADMINISTRACIONES PÚBLICAS,60014
2011/05,NO RESIDENTES,178394
2011/05,TOTAL,442195
2011/06,ENTIDADES DE CREDITO,121826
2011/06,BANCO DE ESPAÑA,18361
2011/06,ENTIDADES DE SEGUROS,32439
2011/06,FONDOS DE PENSIONES,9493
2011/06,FONDOS DE INVERSION,15021
2011/06,OTRAS INSTITUCIONES FINANCIERAS,1821
2011/06,EMPRESAS NO FINANCIERAS,7655
2011/06,PERSONAS FÍSICAS,1884
2011/06,ADMINISTRACIONES PÚBLICAS,60013
2011/06,NO RESIDENTES,181286
2011/06,TOTAL,449798
2011/07,ENTIDADES DE CREDITO,123160
2011/07,BANCO DE ESPAÑA,18905
2011/07,ENTIDADES DE SEGUROS,34521
2011/07,FONDOS DE PENSIONES,10084
2011/07,FONDOS DE INVERSION,15851
2011/07,OTRAS INSTITUCIONES FINANCIERAS,1865
2011/07,EMPRESAS NO FINANCIERAS,8816
2011/07,PERSONAS FÍSICAS,1918
2011/07,ADMINISTRACIONES PÚBLICAS,60143
2011/07,NO RESIDENTES,180397
2011/07,TOTAL,455659
2011/08,ENTIDADES DE CREDITO,119856
2011/08,BANCO DE ESPAÑA,20705
2011/08,ENTIDADES DE SEGUROS,34496
2011/08,FONDOS DE PENSIONES,9814
2011/08,FONDOS DE INVERSION,15184
2011/08,OTRAS INSTITUCIONES FINANCIERAS,1796
2011/08,EMPRESAS NO FINANCIERAS,7783
2011/08,PERSONAS FÍSICAS,1950
2011/08,ADMINISTRACIONES PÚBLICAS,59365
2011/08,NO RESIDENTES,173504
2011/08,TOTAL,444452
2011/09,ENTIDADES DE CREDITO,120274
2011/09,BANCO DE ESPAÑA,22078
2011/09,ENTIDADES DE SEGUROS,34997
2011/09,FONDOS DE PENSIONES,9704
2011/09,FONDOS DE INVERSION,15228
2011/09,OTRAS INSTITUCIONES FINANCIERAS,1865
2011/09,EMPRESAS NO FINANCIERAS,7798
2011/09,PERSONAS FÍSICAS,3439
2011/09,ADMINISTRACIONES PÚBLICAS,60816
2011/09,NO RESIDENTES,175884
2011/09,TOTAL,452083
2011/10,ENTIDADES DE CREDITO,120489
2011/10,BANCO DE ESPAÑA,22656
2011/10,ENTIDADES DE SEGUROS,34956
2011/10,FONDOS DE PENSIONES,10003
2011/10,FONDOS DE INVERSION,14674
2011/10,OTRAS INSTITUCIONES FINANCIERAS,1782
2011/10,EMPRESAS NO FINANCIERAS,8048
2011/10,PERSONAS FÍSICAS,3071
2011/10,ADMINISTRACIONES PÚBLICAS,58293
2011/10,NO RESIDENTES,173214
2011/10,TOTAL,447187
2011/11,ENTIDADES DE CREDITO,121818
2011/11,BANCO DE ESPAÑA,24216
2011/11,ENTIDADES DE SEGUROS,35332
2011/11,FONDOS DE PENSIONES,10374
2011/11,FONDOS DE INVERSION,15593
2011/11,OTRAS INSTITUCIONES FINANCIERAS,1890
2011/11,EMPRESAS NO FINANCIERAS,8133
2011/11,PERSONAS FÍSICAS,3131
2011/11,ADMINISTRACIONES PÚBLICAS,58203
2011/11,NO RESIDENTES,176812
2011/11,TOTAL,455501
2011/12,ENTIDADES DE CREDITO,139395
2011/12,BANCO DE ESPAÑA,24670
2011/12,ENTIDADES DE SEGUROS,36995
2011/12,FONDOS DE PENSIONES,10628
2011/12,FONDOS DE INVERSION,15691
2011/12,OTRAS INSTITUCIONES FINANCIERAS,1372
2011/12,EMPRESAS NO FINANCIERAS,6927
2011/12,PERSONAS FÍSICAS,3034
2011/12,ADMINISTRACIONES PÚBLICAS,60609
2011/12,NO RESIDENTES,167598
2011/12,TOTAL,466920
2012/01,ENTIDADES DE CREDITO,159403
2012/01,BANCO DE ESPAÑA,25123
2012/01,ENTIDADES DE SEGUROS,37859
2012/01,FONDOS DE PENSIONES,10836
2012/01,FONDOS DE INVERSION,15754
2012/01,OTRAS INSTITUCIONES FINANCIERAS,1423
2012/01,EMPRESAS NO FINANCIERAS,8195
2012/01,PERSONAS FÍSICAS,2601
2012/01,ADMINISTRACIONES PÚBLICAS,60749
2012/01,NO RESIDENTES,161824
2012/01,TOTAL,483766
2012/02,ENTIDADES DE CREDITO,166747
2012/02,BANCO DE ESPAÑA,26033
2012/02,ENTIDADES DE SEGUROS,38457
2012/02,FONDOS DE PENSIONES,11140
2012/02,FONDOS DE INVERSION,15762
2012/02,OTRAS INSTITUCIONES FINANCIERAS,1239
2012/02,EMPRESAS NO FINANCIERAS,7258
2012/02,PERSONAS FÍSICAS,2509
2012/02,ADMINISTRACIONES PÚBLICAS,60982
2012/02,NO RESIDENTES,165081
2012/02,TOTAL,495207
2012/03,ENTIDADES DE CREDITO,177349
2012/03,BANCO DE ESPAÑA,26694
2012/03,ENTIDADES DE SEGUROS,39944
2012/03,FONDOS DE PENSIONES,11807
2012/03,FONDOS DE INVERSION,15738
2012/03,OTRAS INSTITUCIONES FINANCIERAS,1173
2012/03,EMPRESAS NO FINANCIERAS,7472
2012/03,PERSONAS FÍSICAS,2096
2012/03,ADMINISTRACIONES PÚBLICAS,61245
2012/03,NO RESIDENTES,158664
2012/03,TOTAL,502183
2012/04,ENTIDADES DE CREDITO,173905
2012/04,BANCO DE ESPAÑA,26919
2012/04,ENTIDADES DE SEGUROS,40415
2012/04,FONDOS DE PENSIONES,12183
2012/04,FONDOS DE INVERSION,15826
2012/04,OTRAS INSTITUCIONES FINANCIERAS,1109
2012/04,EMPRESAS NO FINANCIERAS,8016
2012/04,PERSONAS FÍSICAS,2032
2012/04,ADMINISTRACIONES PÚBLICAS,59435
2012/04,NO RESIDENTES,154950
2012/04,TOTAL,494791
2012/05,ENTIDADES DE CREDITO,171026
2012/05,BANCO DE ESPAÑA,26919
2012/05,ENTIDADES DE SEGUROS,40707
2012/05,FONDOS DE PENSIONES,12033
2012/05,FONDOS DE INVERSION,16543
2012/05,OTRAS INSTITUCIONES FINANCIERAS,1142
2012/05,EMPRESAS NO FINANCIERAS,9213
2012/05,PERSONAS FÍSICAS,2096
2012/05,ADMINISTRACIONES PÚBLICAS,58664
2012/05,NO RESIDENTES,161415
2012/05,TOTAL,499756
2012/06,ENTIDADES DE CREDITO,173553
2012/06,BANCO DE ESPAÑA,27712
2012/06,ENTIDADES DE SEGUROS,41301
2012/06,FONDOS DE PENSIONES,11760
2012/06,FONDOS DE INVERSION,16832
2012/06,OTRAS INSTITUCIONES FINANCIERAS,831
2012/06,EMPRESAS NO FINANCIERAS,9802
2012/06,PERSONAS FÍSICAS,2244
2012/06,ADMINISTRACIONES PÚBLICAS,57524
2012/06,NO RESIDENTES,162815
2012/06,TOTAL,504373
2012/07,ENTIDADES DE CREDITO,168813
2012/07,BANCO DE ESPAÑA,28829
2012/07,ENTIDADES DE SEGUROS,41626
2012/07,FONDOS DE PENSIONES,11218
2012/07,FONDOS DE INVERSION,16631
2012/07,OTRAS INSTITUCIONES FINANCIERAS,842
2012/07,EMPRESAS NO FINANCIERAS,11152
2012/07,PERSONAS FÍSICAS,2311
2012/07,ADMINISTRACIONES PÚBLICAS,54353
2012/07,NO RESIDENTES,161704
2012/07,TOTAL,497479
2012/08,ENTIDADES DE CREDITO,170559
2012/08,BANCO DE ESPAÑA,29433
2012/08,ENTIDADES DE SEGUROS,41226
2012/08,FONDOS DE PENSIONES,11174
2012/08,FONDOS DE INVERSION,17484
2012/08,OTRAS INSTITUCIONES FINANCIERAS,675
2012/08,EMPRESAS NO FINANCIERAS,9700
2012/08,PERSONAS FÍSICAS,2386
2012/08,ADMINISTRACIONES PÚBLICAS,55934
2012/08,NO RESIDENTES,162325
2012/08,TOTAL,500897
2012/09,ENTIDADES DE CREDITO,171754
2012/09,BANCO DE ESPAÑA,29970
2012/09,ENTIDADES DE SEGUROS,41494
2012/09,FONDOS DE PENSIONES,10994
2012/09,FONDOS DE INVERSION,16709
2012/09,OTRAS INSTITUCIONES FINANCIERAS,586
2012/09,EMPRESAS NO FINANCIERAS,9721
2012/09,PERSONAS FÍSICAS,2449
2012/09,ADMINISTRACIONES PÚBLICAS,59150
2012/09,NO RESIDENTES,171774
2012/09,TOTAL,514601
2012/10,ENTIDADES DE CREDITO,167759
2012/10,BANCO DE ESPAÑA,29690
2012/10,ENTIDADES DE SEGUROS,41537
2012/10,FONDOS DE PENSIONES,10326
2012/10,FONDOS DE INVERSION,15626
2012/10,OTRAS INSTITUCIONES FINANCIERAS,688
2012/10,EMPRESAS NO FINANCIERAS,10676
2012/10,PERSONAS FÍSICAS,2386
2012/10,ADMINISTRACIONES PÚBLICAS,56235
2012/10,NO RESIDENTES,174350
2012/10,TOTAL,509272
2012/11,ENTIDADES DE CREDITO,168562
2012/11,BANCO DE ESPAÑA,29615
2012/11,ENTIDADES DE SEGUROS,42376
2012/11,FONDOS DE PENSIONES,10458
2012/11,FONDOS DE INVERSION,15343
2012/11,OTRAS INSTITUCIONES FINANCIERAS,710
2012/11,EMPRESAS NO FINANCIERAS,10423
2012/11,PERSONAS FÍSICAS,2531
2012/11,ADMINISTRACIONES PÚBLICAS,60787
2012/11,NO RESIDENTES,180747
2012/11,TOTAL,521552
2012/12,ENTIDADES DE CREDITO,171038
2012/12,BANCO DE ESPAÑA,29625
2012/12,ENTIDADES DE SEGUROS,42522
2012/12,FONDOS DE PENSIONES,10392
2012/12,FONDOS DE INVERSION,15964
2012/12,OTRAS INSTITUCIONES FINANCIERAS,789
2012/12,EMPRESAS NO FINANCIERAS,10836
2012/12,PERSONAS FÍSICAS,2543
2012/12,ADMINISTRACIONES PÚBLICAS,61841
2012/12,NO RESIDENTES,184836
2012/12,TOTAL,530385
2013/01,ENTIDADES DE CREDITO,172509
2013/01,BANCO DE ESPAÑA,28604
2013/01,ENTIDADES DE SEGUROS,43048
2013/01,FONDOS DE PENSIONES,11141
2013/01,FONDOS DE INVERSION,14955
2013/01,OTRAS INSTITUCIONES FINANCIERAS,212
2013/01,EMPRESAS NO FINANCIERAS,11519
2013/01,PERSONAS FÍSICAS,2500
2013/01,ADMINISTRACIONES PÚBLICAS,59718
2013/01,NO RESIDENTES,190882
2013/01,TOTAL,535087
2013/02,ENTIDADES DE CREDITO,184451
2013/02,BANCO DE ESPAÑA,29135
2013/02,ENTIDADES DE SEGUROS,44648
2013/02,FONDOS DE PENSIONES,11553
2013/02,FONDOS DE INVERSION,15906
2013/02,OTRAS INSTITUCIONES FINANCIERAS,299
2013/02,EMPRESAS NO FINANCIERAS,10622
2013/02,PERSONAS FÍSICAS,2643
2013/02,ADMINISTRACIONES PÚBLICAS,59742
2013/02,NO RESIDENTES,185398
2013/02,TOTAL,544396
2013/03,ENTIDADES DE CREDITO,194921
2013/03,BANCO DE ESPAÑA,29135
2013/03,ENTIDADES DE SEGUROS,45354
2013/03,FONDOS DE PENSIONES,11407
2013/03,FONDOS DE INVERSION,16076
2013/03,OTRAS INSTITUCIONES FINANCIERAS,1243
2013/03,EMPRESAS NO FINANCIERAS,11086
2013/03,PERSONAS FÍSICAS,2717
2013/03,ADMINISTRACIONES PÚBLICAS,60787
2013/03,NO RESIDENTES,183266
2013/03,TOTAL,555991
2013/04,ENTIDADES DE CREDITO,191348
2013/04,BANCO DE ESPAÑA,28485
2013/04,ENTIDADES DE SEGUROS,45736
2013/04,FONDOS DE PENSIONES,11369
2013/04,FONDOS DE INVERSION,15990
2013/04,OTRAS INSTITUCIONES FINANCIERAS,892
2013/04,EMPRESAS NO FINANCIERAS,13298
2013/04,PERSONAS FÍSICAS,2706
2013/04,ADMINISTRACIONES PÚBLICAS,59955
2013/04,NO RESIDENTES,182098
2013/04,TOTAL,551876
2013/05,ENTIDADES DE CREDITO,196898
2013/05,BANCO DE ESPAÑA,28485
2013/05,ENTIDADES DE SEGUROS,47382
2013/05,FONDOS DE PENSIONES,11652
2013/05,FONDOS DE INVERSION,17328
2013/05,OTRAS INSTITUCIONES FINANCIERAS,867
2013/05,EMPRESAS NO FINANCIERAS,13148
2013/05,PERSONAS FÍSICAS,2769
2013/05,ADMINISTRACIONES PÚBLICAS,60306
2013/05,NO RESIDENTES,188604
2013/05,TOTAL,567437
2013/06,ENTIDADES DE CREDITO,210536
2013/06,BANCO DE ESPAÑA,28485
2013/06,ENTIDADES DE SEGUROS,48014
2013/06,FONDOS DE PENSIONES,12681
2013/06,FONDOS DE INVERSION,17717
2013/06,OTRAS INSTITUCIONES FINANCIERAS,1088
2013/06,EMPRESAS NO FINANCIERAS,13533
2013/06,PERSONAS FÍSICAS,2843
2013/06,ADMINISTRACIONES PÚBLICAS,60518
2013/06,NO RESIDENTES,179577
2013/06,TOTAL,574993
2013/07,ENTIDADES DE CREDITO,206625
2013/07,BANCO DE ESPAÑA,28504
2013/07,ENTIDADES DE SEGUROS,49039
2013/07,FONDOS DE PENSIONES,12534
2013/07,FONDOS DE INVERSION,18011
2013/07,OTRAS INSTITUCIONES FINANCIERAS,332
2013/07,EMPRESAS NO FINANCIERAS,13748
2013/07,PERSONAS FÍSICAS,2606
2013/07,ADMINISTRACIONES PÚBLICAS,58140
2013/07,NO RESIDENTES,181830
2013/07,TOTAL,571369
2013/08,ENTIDADES DE CREDITO,205694
2013/08,BANCO DE ESPAÑA,28983
2013/08,ENTIDADES DE SEGUROS,49846
2013/08,FONDOS DE PENSIONES,13036
2013/08,FONDOS DE INVERSION,18582
2013/08,OTRAS INSTITUCIONES FINANCIERAS,405
2013/08,EMPRESAS NO FINANCIERAS,14104
2013/08,PERSONAS FÍSICAS,2657
2013/08,ADMINISTRACIONES PÚBLICAS,58330
2013/08,NO RESIDENTES,183381
2013/08,TOTAL,575018
2013/09,ENTIDADES DE CREDITO,204614
2013/09,BANCO DE ESPAÑA,28983
2013/09,ENTIDADES DE SEGUROS,50652
2013/09,FONDOS DE PENSIONES,12895
2013/09,FONDOS DE INVERSION,18850
2013/09,OTRAS INSTITUCIONES FINANCIERAS,784
2013/09,EMPRESAS NO FINANCIERAS,13965
2013/09,PERSONAS FÍSICAS,2741
2013/09,ADMINISTRACIONES PÚBLICAS,58347
2013/09,NO RESIDENTES,191333
2013/09,TOTAL,583164
2013/10,ENTIDADES DE CREDITO,199188
2013/10,BANCO DE ESPAÑA,28918
2013/10,ENTIDADES DE SEGUROS,51216
2013/10,FONDOS DE PENSIONES,12992
2013/10,FONDOS DE INVERSION,18140
2013/10,OTRAS INSTITUCIONES FINANCIERAS,695
2013/10,EMPRESAS NO FINANCIERAS,14491
2013/10,PERSONAS FÍSICAS,2813
2013/10,ADMINISTRACIONES PÚBLICAS,56658
2013/10,NO RESIDENTES,192727
2013/10,TOTAL,577838
2013/11,ENTIDADES DE CREDITO,191442
2013/11,BANCO DE ESPAÑA,28918
2013/11,ENTIDADES DE SEGUROS,51728
2013/11,FONDOS DE PENSIONES,13048
2013/11,FONDOS DE INVERSION,21605
2013/11,OTRAS INSTITUCIONES FINANCIERAS,656
2013/11,EMPRESAS NO FINANCIERAS,14808
2013/11,PERSONAS FÍSICAS,2882
2013/11,ADMINISTRACIONES PÚBLICAS,55966
2013/11,NO RESIDENTES,205592
2013/11,TOTAL,586644
2013/12,ENTIDADES DE CREDITO,174846
2013/12,BANCO DE ESPAÑA,29461
2013/12,ENTIDADES DE SEGUROS,53542
2013/12,FONDOS DE PENSIONES,13691
2013/12,FONDOS DE INVERSION,23108
2013/12,OTRAS INSTITUCIONES FINANCIERAS,736
2013/12,EMPRESAS NO FINANCIERAS,15351
2013/12,PERSONAS FÍSICAS,2972
2013/12,ADMINISTRACIONES PÚBLICAS,56833
2013/12,NO RESIDENTES,221614
2013/12,TOTAL,592154
2014/01,ENTIDADES DE CREDITO,188559
2014/01,BANCO DE ESPAÑA,29098
2014/01,ENTIDADES DE SEGUROS,53637
2014/01,FONDOS DE PENSIONES,13441
2014/01,FONDOS DE INVERSION,22485
2014/01,OTRAS INSTITUCIONES FINANCIERAS,685
2014/01,EMPRESAS NO FINANCIERAS,14256
2014/01,PERSONAS FÍSICAS,2981
2014/01,ADMINISTRACIONES PÚBLICAS,54598
2014/01,NO RESIDENTES,220264
2014/01,TOTAL,600003
2014/02,ENTIDADES DE CREDITO,183313
2014/02,BANCO DE ESPAÑA,29098
2014/02,ENTIDADES DE SEGUROS,54124
2014/02,FONDOS DE PENSIONES,13674
2014/02,FONDOS DE INVERSION,24986
2014/02,OTRAS INSTITUCIONES FINANCIERAS,954
2014/02,EMPRESAS NO FINANCIERAS,14803
2014/02,PERSONAS FÍSICAS,3030
2014/02,ADMINISTRACIONES PÚBLICAS,54491
2014/02,NO RESIDENTES,233183
2014/02,TOTAL,611657
2014/03,ENTIDADES DE CREDITO,188332
2014/03,BANCO DE ESPAÑA,29098
2014/03,ENTIDADES DE SEGUROS,54903
2014/03,FONDOS DE PENSIONES,13767
2014/03,FONDOS DE INVERSION,25695
2014/03,OTRAS INSTITUCIONES FINANCIERAS,2817
2014/03,EMPRESAS NO FINANCIERAS,15066
2014/03,PERSONAS FÍSICAS,3022
2014/03,ADMINISTRACIONES PÚBLICAS,54592
2014/03,NO RESIDENTES,234493
2014/03,TOTAL,621785
2014/04,ENTIDADES DE CREDITO,191448
2014/04,BANCO DE ESPAÑA,28446
2014/04,ENTIDADES DE SEGUROS,54730
2014/04,FONDOS DE PENSIONES,14068
2014/04,FONDOS DE INVERSION,27097
2014/04,OTRAS INSTITUCIONES FINANCIERAS,2428
2014/04,EMPRESAS NO FINANCIERAS,15056
2014/04,PERSONAS FÍSICAS,2960
2014/04,ADMINISTRACIONES PÚBLICAS,53991
2014/04,NO RESIDENTES,228813
2014/04,TOTAL,619036
2014/05,ENTIDADES DE CREDITO,197295
2014/05,BANCO DE ESPAÑA,28446
2014/05,ENTIDADES DE SEGUROS,54339
2014/05,FONDOS DE PENSIONES,13355
2014/05,FONDOS DE INVERSION,27386
2014/05,OTRAS INSTITUCIONES FINANCIERAS,1971
2014/05,EMPRESAS NO FINANCIERAS,15629
2014/05,PERSONAS FÍSICAS,2973
2014/05,ADMINISTRACIONES PÚBLICAS,54393
2014/05,NO RESIDENTES,236335
2014/05,TOTAL,632123
2014/06,ENTIDADES DE CREDITO,197656
2014/06,BANCO DE ESPAÑA,28446
2014/06,ENTIDADES DE SEGUROS,54395
2014/06,FONDOS DE PENSIONES,13429
2014/06,FONDOS DE INVERSION,27045
2014/06,OTRAS INSTITUCIONES FINANCIERAS,1895
2014/06,EMPRESAS NO FINANCIERAS,15419
2014/06,PERSONAS FÍSICAS,2927
2014/06,ADMINISTRACIONES PÚBLICAS,54443
2014/06,NO RESIDENTES,250356
2014/06,TOTAL,646011
2014/07,ENTIDADES DE CREDITO,199851
2014/07,BANCO DE ESPAÑA,28569
2014/07,ENTIDADES DE SEGUROS,56456
2014/07,FONDOS DE PENSIONES,12768
2014/07,FONDOS DE INVERSION,27114
2014/07,OTRAS INSTITUCIONES FINANCIERAS,1805
2014/07,EMPRESAS NO FINANCIERAS,14448
2014/07,PERSONAS FÍSICAS,2786
2014/07,ADMINISTRACIONES PÚBLICAS,52713
2014/07,NO RESIDENTES,241304
2014/07,TOTAL,637814
2014/08,ENTIDADES DE CREDITO,203102
2014/08,BANCO DE ESPAÑA,28569
2014/08,ENTIDADES DE SEGUROS,56944
2014/08,FONDOS DE PENSIONES,12440
2014/08,FONDOS DE INVERSION,26243
2014/08,OTRAS INSTITUCIONES FINANCIERAS,1857
2014/08,EMPRESAS NO FINANCIERAS,14489
2014/08,PERSONAS FÍSICAS,2782
2014/08,ADMINISTRACIONES PÚBLICAS,52795
2014/08,NO RESIDENTES,241865
2014/08,TOTAL,641084
2014/09,ENTIDADES DE CREDITO,208741
2014/09,BANCO DE ESPAÑA,28569
2014/09,ENTIDADES DE SEGUROS,57033
2014/09,FONDOS DE PENSIONES,12317
2014/09,FONDOS DE INVERSION,25167
2014/09,OTRAS INSTITUCIONES FINANCIERAS,1827
2014/09,EMPRESAS NO FINANCIERAS,14352
2014/09,PERSONAS FÍSICAS,2767
2014/09,ADMINISTRACIONES PÚBLICAS,52519
2014/09,NO RESIDENTES,245662
2014/09,TOTAL,648954
2014/10,ENTIDADES DE CREDITO,211720
2014/10,BANCO DE ESPAÑA,28597
2014/10,ENTIDADES DE SEGUROS,57542
2014/10,FONDOS DE PENSIONES,12295
2014/10,FONDOS DE INVERSION,24927
2014/10,OTRAS INSTITUCIONES FINANCIERAS,1952
2014/10,EMPRESAS NO FINANCIERAS,14397
2014/10,PERSONAS FÍSICAS,2688
2014/10,ADMINISTRACIONES PÚBLICAS,48104
2014/10,NO RESIDENTES,237299
2014/10,TOTAL,639520
2014/11,ENTIDADES DE CREDITO,210779
2014/11,BANCO DE ESPAÑA,28982
2014/11,ENTIDADES DE SEGUROS,61847
2014/11,FONDOS DE PENSIONES,11478
2014/11,FONDOS DE INVERSION,23822
2014/11,OTRAS INSTITUCIONES FINANCIERAS,1970
2014/11,EMPRESAS NO FINANCIERAS,10493
2014/11,PERSONAS FÍSICAS,2705
2014/11,ADMINISTRACIONES PÚBLICAS,46042
2014/11,NO RESIDENTES,248832
2014/11,TOTAL,646950
2014/12,ENTIDADES DE CREDITO,205864
2014/12,BANCO DE ESPAÑA,29397
2014/12,ENTIDADES DE SEGUROS,63111
2014/12,FONDOS DE PENSIONES,11863
2014/12,FONDOS DE INVERSION,23730
2014/12,OTRAS INSTITUCIONES FINANCIERAS,1975
2014/12,EMPRESAS NO FINANCIERAS,10583
2014/12,PERSONAS FÍSICAS,2695
2014/12,ADMINISTRACIONES PÚBLICAS,45354
2014/12,NO RESIDENTES,258633
2014/12,TOTAL,653207
2015/01,ENTIDADES DE CREDITO,195078
2015/01,BANCO DE ESPAÑA,29397
2015/01,ENTIDADES DE SEGUROS,62565
2015/01,FONDOS DE PENSIONES,11931
2015/01,FONDOS DE INVERSION,23818
2015/01,OTRAS INSTITUCIONES FINANCIERAS,2163
2015/01,EMPRESAS NO FINANCIERAS,10958
2015/01,PERSONAS FÍSICAS,3541
2015/01,ADMINISTRACIONES PÚBLICAS,45065
2015/01,NO RESIDENTES,287887
2015/01,TOTAL,672404
2015/02,ENTIDADES DE CREDITO,192012
2015/02,BANCO DE ESPAÑA,29447
2015/02,ENTIDADES DE SEGUROS,61681
2015/02,FONDOS DE PENSIONES,12090
2015/02,FONDOS DE INVERSION,23746
2015/02,OTRAS INSTITUCIONES FINANCIERAS,872
2015/02,EMPRESAS NO FINANCIERAS,10920
2015/02,PERSONAS FÍSICAS,4274
2015/02,ADMINISTRACIONES PÚBLICAS,46795
2015/02,NO RESIDENTES,278583
2015/02,TOTAL,660420
2015/03,ENTIDADES DE CREDITO,192875
2015/03,BANCO DE ESPAÑA,33109
2015/03,ENTIDADES DE SEGUROS,61737
2015/03,FONDOS DE PENSIONES,12536
2015/03,FONDOS DE INVERSION,22743
2015/03,OTRAS INSTITUCIONES FINANCIERAS,1088
2015/03,EMPRESAS NO FINANCIERAS,9551
2015/03,PERSONAS FÍSICAS,4477
2015/03,ADMINISTRACIONES PÚBLICAS,46384
2015/03,NO RESIDENTES,283755
2015/03,TOTAL,668255
2015/04,ENTIDADES DE CREDITO,184801
2015/04,BANCO DE ESPAÑA,36353
2015/04,ENTIDADES DE SEGUROS,61457
2015/04,FONDOS DE PENSIONES,12595
2015/04,FONDOS DE INVERSION,21382
2015/04,OTRAS INSTITUCIONES FINANCIERAS,915
2015/04,EMPRESAS NO FINANCIERAS,9189
2015/04,PERSONAS FÍSICAS,4151
2015/04,ADMINISTRACIONES PÚBLICAS,45017
2015/04,NO RESIDENTES,283154
2015/04,TOTAL,659015
2015/05,ENTIDADES DE CREDITO,188183
2015/05,BANCO DE ESPAÑA,40673
2015/05,ENTIDADES DE SEGUROS,61333
2015/05,FONDOS DE PENSIONES,12541
2015/05,FONDOS DE INVERSION,20494
2015/05,OTRAS INSTITUCIONES FINANCIERAS,1157
2015/05,EMPRESAS NO FINANCIERAS,8820
2015/05,PERSONAS FÍSICAS,4754
2015/05,ADMINISTRACIONES PÚBLICAS,44476
2015/05,NO RESIDENTES,286285
2015/05,TOTAL,668715
2015/06,ENTIDADES DE CREDITO,195859
2015/06,BANCO DE ESPAÑA,45143
2015/06,ENTIDADES DE SEGUROS,61074
2015/06,FONDOS DE PENSIONES,12451
2015/06,FONDOS DE INVERSION,18692
2015/06,OTRAS INSTITUCIONES FINANCIERAS,1211
2015/06,EMPRESAS NO FINANCIERAS,9272
2015/06,PERSONAS FÍSICAS,4634
2015/06,ADMINISTRACIONES PÚBLICAS,43621
2015/06,NO RESIDENTES,291630
2015/06,TOTAL,683586
2015/07,ENTIDADES DE CREDITO,187944
2015/07,BANCO DE ESPAÑA,49295
2015/07,ENTIDADES DE SEGUROS,60525
2015/07,FONDOS DE PENSIONES,12130
2015/07,FONDOS DE INVERSION,17475
2015/07,OTRAS INSTITUCIONES FINANCIERAS,1203
2015/07,EMPRESAS NO FINANCIERAS,8830
2015/07,PERSONAS FÍSICAS,4514
2015/07,ADMINISTRACIONES PÚBLICAS,43638
2015/07,NO RESIDENTES,290483
2015/07,TOTAL,676037
2015/08,ENTIDADES DE CREDITO,185462
2015/08,BANCO DE ESPAÑA,53025
2015/08,ENTIDADES DE SEGUROS,60762
2015/08,FONDOS DE PENSIONES,11845
2015/08,FONDOS DE INVERSION,16777
2015/08,OTRAS INSTITUCIONES FINANCIERAS,1157
2015/08,EMPRESAS NO FINANCIERAS,8710
2015/08,PERSONAS FÍSICAS,4620
2015/08,ADMINISTRACIONES PÚBLICAS,42847
2015/08,NO RESIDENTES,300147
2015/08,TOTAL,685351
2015/09,ENTIDADES DE CREDITO,190115
2015/09,BANCO DE ESPAÑA,57710
2015/09,ENTIDADES DE SEGUROS,61567
2015/09,FONDOS DE PENSIONES,11070
2015/09,FONDOS DE INVERSION,15960
2015/09,OTRAS INSTITUCIONES FINANCIERAS,1168
2015/09,EMPRESAS NO FINANCIERAS,9058
2015/09,PERSONAS FÍSICAS,4271
2015/09,ADMINISTRACIONES PÚBLICAS,41571
2015/09,NO RESIDENTES,305794
2015/09,TOTAL,698285
2015/10,ENTIDADES DE CREDITO,184440
2015/10,BANCO DE ESPAÑA,62400
2015/10,ENTIDADES DE SEGUROS,61084
2015/10,FONDOS DE PENSIONES,10974
2015/10,FONDOS DE INVERSION,15786
2015/10,OTRAS INSTITUCIONES FINANCIERAS,1297
2015/10,EMPRESAS NO FINANCIERAS,10733
2015/10,PERSONAS FÍSICAS,4107
2015/10,ADMINISTRACIONES PÚBLICAS,39845
2015/10,NO RESIDENTES,316676
2015/10,TOTAL,707340
2015/11,ENTIDADES DE CREDITO,184692
2015/11,BANCO DE ESPAÑA,67190
2015/11,ENTIDADES DE SEGUROS,60785
2015/11,FONDOS DE PENSIONES,10822
2015/11,FONDOS DE INVERSION,15016
2015/11,OTRAS INSTITUCIONES FINANCIERAS,1208
2015/11,EMPRESAS NO FINANCIERAS,10787
2015/11,PERSONAS FÍSICAS,3510
2015/11,ADMINISTRACIONES PÚBLICAS,37353
2015/11,NO RESIDENTES,308351
2015/11,TOTAL,699715
2015/12,ENTIDADES DE CREDITO,180156
