date,tenedor,value
2004/04,NO RESIDENTES,113622
2004/04,TOTAL,245192
2004/05,ENTIDADES DE CREDITO,76714
2004/05,BANCO DE ESPAÑA,4690
2004/05,ENTIDADES DE SEGUROS,16270
2004/05,FONDOS DE PENSIONES,3493
2004/05,FONDOS DE INVERSION,6865
2004/05,OTRAS INSTITUCIONES FINANCIERAS,1099
2004/05,EMPRESAS NO FINANCIERAS,7158
2004/05,PERSONAS FÍSICAS,1979
2004/05,ADMINISTRACIONES PÚBLICAS,13040
2004/05,NO RESIDENTES,113010
2004/05,TOTAL,244318
2004/06,ENTIDADES DE CREDITO,78905
2004/06,BANCO DE ESPAÑA,4656
2004/06,ENTIDADES DE SEGUROS,16709
2004/06,FONDOS DE PENSIONES,3685
2004/06,FONDOS DE INVERSION,7022
2004/06,OTRAS INSTITUCIONES FINANCIERAS,647
2004/06,EMPRESAS NO FINANCIERAS,7022
2004/06,PERSONAS FÍSICAS,1967
2004/06,ADMINISTRACIONES PÚBLICAS,13877
2004/06,NO RESIDENTES,114495
2004/06,TOTAL,248985
2004/07,ENTIDADES DE CREDITO,70143
2004/07,BANCO DE ESPAÑA,4663
2004/07,ENTIDADES DE SEGUROS,16332
2004/07,FONDOS DE PENSIONES,3358
2004/07,FONDOS DE INVERSION,6281
2004/07,OTRAS INSTITUCIONES FINANCIERAS,1812
2004/07,EMPRESAS NO FINANCIERAS,7055
2004/07,PERSONAS FÍSICAS,1909
2004/07,ADMINISTRACIONES PÚBLICAS,13376
2004/07,NO RESIDENTES,116690
2004/07,TOTAL,241618
2004/08,ENTIDADES DE CREDITO,70487
2004/08,BANCO DE ESPAÑA,4920
2004/08,ENTIDADES DE SEGUROS,16376
2004/08,FONDOS DE PENSIONES,3352
2004/08,FONDOS DE INVERSION,6174
2004/08,OTRAS INSTITUCIONES FINANCIERAS,1616
2004/08,EMPRESAS NO FINANCIERAS,6994
2004/08,PERSONAS FÍSICAS,1905
2004/08,ADMINISTRACIONES PÚBLICAS,15134
2004/08,NO RESIDENTES,114225
2004/08,TOTAL,241185
2004/09,ENTIDADES DE CREDITO,70379
2004/09,BANCO DE ESPAÑA,5042
2004/09,ENTIDADES DE SEGUROS,16545
2004/09,FONDOS DE PENSIONES,3329
2004/09,FONDOS DE INVERSION,6266
2004/09,OTRAS INSTITUCIONES FINANCIERAS,367
2004/09,EMPRESAS NO FINANCIERAS,7049
2004/09,PERSONAS FÍSICAS,1934
2004/09,ADMINISTRACIONES PÚBLICAS,15356
2004/09,NO RESIDENTES,118484
2004/09,TOTAL,244750
2004/10,ENTIDADES DE CREDITO,68574
2004/10,BANCO DE ESPAÑA,5339
2004/10,ENTIDADES DE SEGUROS,16486
2004/10,FONDOS DE PENSIONES,3411
2004/10,FONDOS DE INVERSION,6006
2004/10,OTRAS INSTITUCIONES FINANCIERAS,1829
2004/10,EMPRESAS NO FINANCIERAS,7069
2004/10,PERSONAS FÍSICAS,1977
2004/10,ADMINISTRACIONES PÚBLICAS,14695
2004/10,NO RESIDENTES,121753
2004/10,TOTAL,247140
2004/11,ENTIDADES DE CREDITO,62219
2004/11,BANCO DE ESPAÑA,5384
2004/11,ENTIDADES DE SEGUROS,16367
2004/11,FONDOS DE PENSIONES,3485
2004/11,FONDOS DE INVERSION,5816
2004/11,OTRAS INSTITUCIONES FINANCIERAS,1466
2004/11,EMPRESAS NO FINANCIERAS,6826
2004/11,PERSONAS FÍSICAS,1851
2004/11,ADMINISTRACIONES PÚBLICAS,16154
2004/11,NO RESIDENTES,120770
2004/11,TOTAL,240337
2004/12,ENTIDADES DE CREDITO,66489
2004/12,BANCO DE ESPAÑA,5344
2004/12,ENTIDADES DE SEGUROS,16689
2004/12,FONDOS DE PENSIONES,3571
2004/12,FONDOS DE INVERSION,5927
2004/12,OTRAS INSTITUCIONES FINANCIERAS,1458
2004/12,EMPRESAS NO FINANCIERAS,7021
2004/12,PERSONAS FÍSICAS,1895
2004/12,ADMINISTRACIONES PÚBLICAS,16155
2004/12,NO RESIDENTES,118379
2004/12,TOTAL,242928
2005/01,ENTIDADES DE CREDITO,59642
2005/01,BANCO DE ESPAÑA,5187
2005/01,ENTIDADES DE SEGUROS,16115
2005/01,FONDOS DE PENSIONES,3570
2005/01,FONDOS DE INVERSION,5803
2005/01,OTRAS INSTITUCIONES FINANCIERAS,2306
2005/01,EMPRESAS NO FINANCIERAS,6816
2005/01,PERSONAS FÍSICAS,1819
2005/01,ADMINISTRACIONES PÚBLICAS,15274
2005/01,NO RESIDENTES,128291
2005/01,TOTAL,244820
2005/02,ENTIDADES DE CREDITO,60746
2005/02,BANCO DE ESPAÑA,5175
2005/02,ENTIDADES DE SEGUROS,16168
2005/02,FONDOS DE PENSIONES,3773
2005/02,FONDOS DE INVERSION,5938
2005/02,OTRAS INSTITUCIONES FINANCIERAS,2166
2005/02,EMPRESAS NO FINANCIERAS,6692
2005/02,PERSONAS FÍSICAS,1665
2005/02,ADMINISTRACIONES PÚBLICAS,15274
2005/02,NO RESIDENTES,125803
2005/02,TOTAL,243400
2005/03,ENTIDADES DE CREDITO,62139
2005/03,BANCO DE ESPAÑA,5304
2005/03,ENTIDADES DE SEGUROS,16374
2005/03,FONDOS DE PENSIONES,4011
2005/03,FONDOS DE INVERSION,6123
2005/03,OTRAS INSTITUCIONES FINANCIERAS,2279
