DATAFLOW,LAST UPDATE,freq,projection,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2090,57.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EE,2100,57.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2019,34.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2020,35.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2030,41.9,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2040,52.8,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2050,62.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2060,61.8,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2070,59.9,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2080,60.9,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2090,61.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EL,2100,60.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2019,29.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2020,29.8,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2030,37.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2040,49.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2050,59.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2060,58.9,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2070,57.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2080,59.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2090,60.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,ES,2100,60.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2019,31.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2020,32.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2030,39.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2040,46.8,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2050,52.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2060,54.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2070,54.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2080,55.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2090,56.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,EU27_2020,2100,57.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2019,35.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2020,36.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2030,42.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2040,44.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2050,48.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2060,53.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2070,57.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2080,62.8,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2090,62.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FI,2100,61.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2019,32.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2020,33.2,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2030,40.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2040,46.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2050,49.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2060,50.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2070,51.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2080,54.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2090,54.8,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,FR,2100,55.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2019,31.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2020,32.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2030,40.6,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2040,46.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2050,52.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2060,56.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2070,59.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2080,61.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2090,61.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HR,2100,60.8,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2019,29.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2020,30.3,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2030,33.7,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2040,39.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2050,47.5,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2060,52.0,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2070,52.4,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2080,53.1,
ESTAT:TPS00200(1.0),08/02/21 23:00:00,A,BSL,OLDDEP1,HU,2090,54.7,
